iter	Passed	Remaining
430	1627	2149
431	1631	2145
432	1634	2140
433	1637	2135
434	1640	2131
435	1644	2126
436	1647	2122
437	1650	2117
438	1653	2113
439	1656	2108
440	1659	2103
441	1663	2099
442	1666	2095
443	1669	2090
444	1673	2086
445	1676	2082
446	1678	2076
447	1681	2072
448	1685	2068
449	1688	2064
450	1692	2060
451	1696	2056
452	1699	2052
453	1703	2048
454	1706	2044
455	1710	2040
456	1713	2035
457	1717	2032
458	1720	2027
459	1723	2023
460	1726	2018
461	1729	2014
462	1732	2009
463	1736	2006
464	1739	2001
465	1742	1997
466	1745	1992
467	1748	1987
468	1752	1983
469	1755	1979
470	1759	1975
471	1761	1970
472	1765	1967
473	1769	1963
474	1772	1959
475	1776	1955
476	1779	1951
477	1783	1947
478	1785	1942
479	1789	1939
480	1793	1934
481	1796	1930
482	1799	1926
483	1802	1921
484	1806	1918
485	1809	1913
486	1813	1910
487	1816	1905
488	1820	1902
489	1823	1898
490	1827	1894
491	1831	1890
492	1834	1886
493	1838	1882
494	1842	1879
495	1846	1876
496	1851	1873
497	1855	1870
498	1860	1867
499	1864	1864
500	1868	1860
501	1871	1856
502	1875	1853
503	1879	1849
504	1883	1845
505	1887	1842
506	1890	1838
507	1894	1835
508	1898	1831
509	1902	1828
510	1906	1824
511	1911	1821
512	1914	1817
513	1919	1814
514	1922	1810
515	1926	1807
516	1930	1803
517	1934	1800
518	1938	1796
519	1942	1793
520	1946	1790
521	1951	1786
522	1955	1783
523	1959	1780
524	1963	1776
525	1968	1773
526	1973	1771
527	1978	1768
528	1982	1765
529	1987	1762
530	1991	1758
531	1994	1754
532	1999	1751
533	2003	1748
534	2007	1744
535	2011	1741
536	2014	1736
537	2017	1732
538	2021	1729
539	2025	1725
540	2029	1721
541	2032	1717
542	2036	1713
543	2039	1709
544	2043	1706
545	2047	1702
546	2051	1698
547	2054	1694
548	2057	1690
549	2061	1686
550	2064	1682
551	2067	1678
552	2071	1674
553	2074	1670
554	2078	1666
555	2081	1662
556	2085	1658
557	2088	1654
558	2092	1650
559	2095	1646
560	2098	1642
561	2102	1638
562	2105	1634
563	2109	1631
564	2112	1626
565	2116	1622
566	2119	1618
567	2122	1614
568	2126	1610
569	2130	1607
570	2132	1602
571	2136	1598
572	2140	1594
573	2143	1590
574	2146	1586
575	2150	1582
576	2153	1578
577	2157	1575
578	2161	1571
579	2164	1567
580	2168	1563
581	2172	1560
582	2176	1556
583	2180	1552
584	2183	1549
585	2186	1544
586	2190	1541
587	2194	1537
588	2198	1533
589	2201	1530
590	2206	1527
591	2212	1524
592	2216	1521
593	2220	1517
594	2222	1513
595	2226	1509
596	2230	1505
597	2234	1502
598	2239	1498
